,HW,D,AW,Over,Under,HomeTeam,AwayTeam,BO2.5,BU2.5,BHD,BAD,THG,TAG,HPr5MW,HPr5MD,HPr5ML,aPr5MW,aPr5MD,aPr5ML,HWH2H,DH2H,AWH2H
93,0,0,1,1,0,Sassuolo,Udinese,1.66,2.2,1.2962962962962963,1.3725490196078431,4,10,1,3,1,4,1,0,0,2,3
94,0,1,0,0,1,Lecce,Monza,2.02,1.88,1.511111111111111,1.0625,3,2,0,3,2,0,1,4,0,1,0
95,1,0,0,1,0,Bologna,Fiorentina,1.96,1.94,1.1724137931034482,1.387755102040816,6,2,1,3,1,0,3,2,1,2,2
96,0,1,0,0,1,Atalanta,Cremonese,1.57,2.37,4.230769230769231,0.5789473684210527,8,3,3,2,0,0,2,3,0,1,0
97,0,0,1,1,0,Sampdoria,Milan,1.72,2.1,0.75,3.0,3,8,0,2,3,3,2,0,0,1,4
98,1,0,0,0,1,Inter,Torino,1.66,2.2,3.2758620689655173,0.6785714285714286,10,4,3,0,2,2,1,2,4,1,0
99,1,0,0,0,1,Napoli,Spezia,1.5,2.62,4.8,0.5454545454545454,8,4,3,2,0,0,2,3,3,0,2
100,1,0,0,0,1,Torino,Lecce,1.9,2.0,2.2058823529411766,0.7142857142857143,6,3,3,1,1,0,2,3,1,0,2
101,0,1,0,1,0,Salernitana,Empoli,1.94,1.96,1.511111111111111,1.0625,7,4,1,3,1,0,4,1,0,2,1
102,0,0,1,0,1,Monza,Atalanta,1.66,2.2,0.7304347826086957,2.6751592356687897,2,9,0,0,5,4,1,0,0,0,1
103,1,0,0,1,0,Udinese,Roma,1.86,2.04,0.8928571428571428,2.0270270270270268,9,6,3,1,1,3,1,1,1,1,3
104,1,0,0,1,0,Verona,Sampdoria,1.93,1.97,1.75609756097561,1.0,6,2,1,2,2,0,2,3,1,1,3
105,0,1,0,1,0,Spezia,Bologna,1.9,2.0,1.0999999999999999,1.3924050632911391,5,5,1,2,2,0,3,2,0,2,3
106,0,1,0,0,1,Cremonese,Sassuolo,1.66,2.2,1.1666666666666667,1.5555555555555556,4,3,0,1,4,1,3,1,0,1,0
107,0,0,1,1,0,Lazio,Napoli,1.72,2.1,1.206896551724138,1.4767932489451476,7,12,2,2,1,3,2,0,1,0,4
108,1,0,0,1,0,Milan,Inter,1.88,2.02,1.1607142857142858,1.25,10,11,3,2,0,3,0,2,3,1,1
109,0,1,0,0,1,Fiorentina,Juventus,2.1,1.72,1.0833333333333333,1.3541666666666667,4,7,1,3,1,2,3,0,2,2,1
110,0,1,0,0,1,Bologna,Salernitana,1.8,2.0,1.9459459459459458,0.8314087759815243,4,5,1,2,2,1,2,2,1,2,0
111,1,0,0,1,0,Atalanta,Torino,1.72,2.1,2.1802325581395348,0.7142857142857143,7,5,3,1,1,2,1,2,3,2,0
112,0,1,0,0,1,Napoli,Lecce,1.44,2.75,5.0,0.5681818181818182,13,6,3,2,0,0,2,3,3,1,1
113,1,0,0,0,1,Juventus,Spezia,1.66,2.2,4.4921875,0.4791666666666667,6,3,2,2,1,1,1,3,5,0,0
114,1,0,0,0,1,Udinese,Fiorentina,1.8,2.0,1.2962962962962963,1.4,9,5,3,1,1,2,2,1,3,0,2
115,0,1,0,0,1,Sampdoria,Lazio,1.92,1.98,0.8571428571428571,1.9459459459459458,1,9,0,2,3,2,3,0,1,1,3
116,0,1,0,0,1,Empoli,Verona,1.88,2.02,1.2595419847328244,1.222222222222222,3,7,1,3,1,0,3,2,2,2,1
117,1,0,0,1,0,Roma,Monza,1.53,2.5,4.230769230769231,0.55,9,2,4,1,0,0,0,4,1,0,0
118,1,0,0,1,0,Inter,Cremonese,1.3,3.5,7.017543859649123,0.38095238095238093,12,4,4,0,1,0,0,4,1,0,0
119,0,1,0,0,1,Sassuolo,Milan,1.53,2.5,0.8247619047619048,2.7579617834394905,3,10,1,2,2,3,2,0,2,1,2
120,0,1,0,0,1,Lecce,Empoli,1.8,2.0,1.5217391304347827,1.1666666666666667,7,3,1,1,3,1,3,1,0,1,0
121,0,1,0,0,1,Fiorentina,Napoli,1.66,2.2,1.1076923076923078,1.6744186046511629,6,15,2,2,1,4,1,0,1,1,3
122,0,0,1,0,1,Verona,Atalanta,1.66,2.2,0.9523809523809523,2.2857142857142856,6,4,0,2,3,2,1,2,2,0,3
123,1,0,0,1,0,Salernitana,Sampdoria,2.03,1.87,1.3061224489795917,1.0666666666666667,5,4,1,2,2,1,1,3,2,0,1
124,0,1,0,1,0,Spezia,Sassuolo,1.61,2.3,1.2,1.6,6,6,2,1,2,2,1,2,1,2,2
125,1,0,0,0,1,Milan,Bologna,1.61,2.3,4.135338345864661,0.6470588235294118,12,4,4,1,0,1,1,3,4,1,0
126,0,1,0,0,1,Juventus,Roma,2.1,1.72,1.434782608695652,1.064516129032258,6,7,1,3,1,3,2,0,3,2,0
127,0,0,1,1,0,Cremonese,Torino,2.03,1.87,1.0625,1.511111111111111,3,5,0,0,3,3,1,1,0,0,1
128,1,0,0,1,0,Lazio,Inter,1.66,2.2,0.95,2.076502732240437,10,12,2,3,0,4,0,1,2,1,2
129,0,0,1,1,0,Monza,Udinese,1.88,2.02,1.096774193548387,1.4782608695652175,2,10,0,0,3,2,1,2,0,0,1
130,0,1,0,0,1,Sampdoria,Juventus,1.89,2.01,0.6956521739130435,2.5,4,6,1,1,3,1,2,2,0,1,4
131,1,0,0,0,1,Roma,Cremonese,1.61,2.3,5.2,0.5909090909090909,6,2,3,1,1,0,0,2,1,0,0
132,0,1,0,0,1,Bologna,Verona,1.85,2.05,1.627906976744186,1.0606060606060606,7,7,1,1,3,0,2,3,2,2,1
133,0,1,0,0,1,Atalanta,Milan,1.72,2.1,1.2727272727272727,1.4,6,13,2,1,2,4,1,0,1,1,3
134,1,0,0,1,0,Napoli,Monza,1.5,2.62,4.135338345864661,0.6875,16,1,5,0,0,0,0,2,1,0,0
135,0,1,0,0,1,Empoli,Fiorentina,1.66,2.2,1.0133333333333332,2.0,4,8,1,2,2,3,1,1,2,1,2
136,1,0,0,0,1,Sassuolo,Lecce,1.61,2.3,2.2857142857142856,0.9523809523809523,5,8,2,1,2,1,0,4,2,1,0
