,HW,D,AW,Over,Under,HomeTeam,AwayTeam,BO2.5,BU2.5,BHD,BAD,THG,TAG,HPr5MW,HPr5MD,HPr5ML,aPr5MW,aPr5MD,aPr5ML,HWH2H,DH2H,AWH2H
1512,0,0,1,0,1,Huesca,Real Madrid,1.44,2.72,0.55,4.230769230769231,4,9,0,2,3,4,0,1,0,0,1
1513,0,1,0,1,0,Eibar,Levante,1.77,2.05,2.1714285714285713,0.8444444444444444,9,11,2,2,1,1,3,1,1,3,1
1514,1,0,0,0,1,Betis,Vallecano,1.63,2.26,2.8300653594771243,0.7216666666666667,11,5,3,1,1,1,1,3,2,2,1
1515,0,0,1,1,0,Villarreal,Celta,1.71,2.13,2.2093023255813953,0.7999999999999999,7,11,1,2,2,2,1,2,4,0,1
1516,0,1,0,0,1,Valencia,Sevilla,1.84,1.96,1.5909090909090908,1.09375,5,5,2,1,2,2,3,0,2,2,1
1517,0,0,1,1,0,Espanol,Barcelona,1.58,2.36,0.6661538461538462,2.8866666666666667,3,13,1,0,4,3,1,1,0,1,4
1518,1,0,0,1,0,Ath Madrid,Alaves,2.21,1.66,3.3088235294117645,0.45,9,4,2,3,0,1,1,3,3,2,0
1519,0,1,0,0,1,Leganes,Getafe,2.89,1.5,1.1068702290076335,0.9666666666666667,7,6,2,3,0,1,3,1,0,2,1
1520,1,0,0,1,0,Levante,Ath Bilbao,1.93,1.87,1.2363636363636363,1.3385826771653542,9,3,2,2,1,0,2,3,2,1,2
1521,0,1,0,0,1,Girona,Ath Madrid,2.44,1.54,0.6181818181818182,1.9428571428571428,7,8,3,2,0,2,3,0,0,3,0
1522,1,0,0,0,1,Betis,Sociedad,1.99,1.82,1.4999999999999998,0.9705882352941176,9,5,2,1,2,2,1,2,1,2,2
1523,1,0,0,0,1,Barcelona,Villarreal,1.33,3.23,5.2,0.5909090909090909,14,6,3,1,1,1,2,2,4,1,0
1524,0,1,0,0,1,Alaves,Sevilla,1.77,2.03,1.0,1.8,6,6,2,1,2,3,2,0,1,2,2
1525,0,0,1,1,0,Valladolid,Leganes,2.73,1.44,1.3080168776371308,0.9393939393939394,3,6,0,2,3,2,2,1,0,0,1
1526,1,0,0,0,1,Real Madrid,Valencia,1.5,2.55,3.298611111111111,0.6785714285714286,9,4,3,0,2,2,1,2,3,1,1
1527,1,0,0,1,0,Getafe,Espanol,2.57,1.49,1.1958333333333335,0.8441176470588235,7,4,2,2,1,1,1,3,3,0,2
1528,1,0,0,0,1,Celta,Huesca,1.76,2.05,2.4390243902439024,0.8,12,5,2,1,2,0,2,3,1,0,0
1529,1,0,0,0,1,Vallecano,Eibar,1.87,1.93,1.064516129032258,1.434782608695652,6,5,1,1,3,2,1,2,2,1,2
1530,1,0,0,1,0,Sociedad,Celta,1.83,1.98,2.0270270270270268,0.8928571428571428,5,10,2,2,1,1,1,3,3,1,1
1531,1,0,0,1,0,Villarreal,Betis,1.78,2.03,1.588785046728972,1.0,7,8,1,3,1,1,1,3,4,0,1
1532,1,0,0,0,1,Sevilla,Valladolid,1.57,2.38,3.3928571428571432,0.59375,7,2,3,1,1,1,2,2,2,2,1
1533,0,0,1,1,0,Espanol,Girona,2.18,1.68,2.168674698795181,0.6260869565217392,6,6,2,1,2,3,2,0,1,0,2
1534,0,1,0,0,1,Ath Bilbao,Getafe,2.44,1.55,1.6176470588235292,0.8461538461538461,4,6,0,3,2,2,2,1,2,3,0
