,FTR,HomeTeam,AwayTeam,FTHG,FTAG
501,H,Roma,Sassuolo,2.0,1.0
502,H,Milan,Lazio,2.0,0.0
503,H,Torino,Salernitana,4.0,0.0
504,A,Spezia,Udinese,0.0,1.0
505,A,Cagliari,Genoa,2.0,3.0
506,D,Sampdoria,Inter,2.0,2.0
507,A,Atalanta,Fiorentina,1.0,2.0
508,H,Napoli,Juventus,2.0,1.0
509,A,Empoli,Venezia,1.0,2.0
510,A,Salernitana,Roma,0.0,4.0
511,H,Milan,Cagliari,4.0,1.0
512,D,Sassuolo,Sampdoria,0.0,0.0
513,A,Genoa,Napoli,1.0,2.0
514,A,Juventus,Empoli,0.0,1.0
515,H,Fiorentina,Torino,2.0,1.0
516,H,Lazio,Spezia,6.0,1.0
517,D,Atalanta,Bologna,0.0,0.0
518,A,Verona,Inter,1.0,3.0
519,H,Udinese,Venezia,3.0,0.0
520,A,Sampdoria,Milan,0.0,1.0
521,D,Cagliari,Spezia,2.0,2.0
522,H,Roma,Fiorentina,3.0,1.0
523,H,Napoli,Venezia,2.0,0.0
524,D,Udinese,Juventus,2.0,2.0
525,H,Bologna,Salernitana,3.0,2.0
526,A,Torino,Atalanta,1.0,2.0
527,A,Empoli,Lazio,1.0,3.0
528,A,Verona,Sassuolo,2.0,3.0
529,H,Inter,Genoa,4.0,0.0
530,D,Torino,Benevento,1.0,1.0
531,D,Spezia,Roma,2.0,2.0
532,H,Sassuolo,Lazio,2.0,0.0
533,D,Napoli,Verona,1.0,1.0
534,A,Bologna,Juventus,1.0,4.0
535,A,Atalanta,Milan,0.0,2.0
536,H,Inter,Udinese,5.0,1.0
537,H,Sampdoria,Parma,3.0,0.0
538,D,Crotone,Fiorentina,0.0,0.0
539,A,Cagliari,Genoa,0.0,1.0
540,D,Lazio,Torino,0.0,0.0
541,D,Verona,Bologna,2.0,2.0
542,D,Milan,Cagliari,0.0,0.0
543,A,Parma,Sassuolo,1.0,3.0
544,A,Udinese,Sampdoria,0.0,1.0
545,D,Benevento,Crotone,1.0,1.0
546,A,Fiorentina,Napoli,0.0,2.0
547,H,Roma,Lazio,2.0,0.0
548,H,Juventus,Inter,3.0,2.0
549,H,Spezia,Torino,4.0,1.0
550,A,Genoa,Atalanta,3.0,4.0
551,H,Crotone,Verona,2.0,1.0
552,A,Torino,Milan,0.0,7.0
553,A,Sassuolo,Juventus,1.0,3.0
554,D,Sampdoria,Spezia,2.0,2.0
555,H,Lazio,Parma,1.0,0.0
556,H,Inter,Roma,3.0,1.0
557,A,Bologna,Genoa,0.0,2.0
558,H,Atalanta,Benevento,2.0,0.0
559,D,Cagliari,Fiorentina,0.0,0.0
560,H,Napoli,Udinese,5.0,1.0
561,A,Juventus,Milan,0.0,3.0
562,H,Roma,Crotone,5.0,0.0
563,D,Verona,Torino,1.0,1.0
564,A,Parma,Atalanta,2.0,5.0
565,A,Benevento,Cagliari,1.0,3.0
566,A,Genoa,Sassuolo,1.0,2.0
567,H,Fiorentina,Lazio,2.0,0.0
568,H,Inter,Sampdoria,5.0,1.0
569,D,Udinese,Bologna,1.0,1.0
