,FTR,HomeTeam,AwayTeam,FTHG,FTAG
336,D,Nantes,Monaco,0.0,0.0
337,A,Metz,Strasbourg,0.0,2.0
338,D,Clermont,Reims,0.0,0.0
339,A,Brest,Nice,0.0,3.0
340,H,Lens,Rennes,1.0,0.0
341,A,Bordeaux,Marseille,0.0,1.0
342,D,Troyes,Brest,1.0,1.0
343,A,St Etienne,Nantes,0.0,1.0
344,H,Nice,Lens,2.0,1.0
345,H,Montpellier,Angers,4.0,1.0
346,H,Monaco,Rennes,2.0,1.0
347,D,Marseille,Reims,1.0,1.0
348,D,Lyon,Metz,1.0,1.0
349,D,Lorient,Paris SG,1.0,1.0
350,A,Bordeaux,Lille,2.0,3.0
351,H,Paris SG,Monaco,2.0,0.0
352,A,Strasbourg,Marseille,0.0,2.0
353,A,Troyes,Bordeaux,1.0,2.0
354,A,Rennes,Nice,1.0,2.0
355,H,Metz,Lorient,4.0,1.0
356,A,Angers,Clermont,0.0,1.0
357,D,Lille,Lyon,0.0,0.0
358,H,Reims,St Etienne,2.0,0.0
359,A,Brest,Montpellier,0.0,4.0
360,H,Nantes,Lens,3.0,2.0
361,D,Bordeaux,Lyon,2.0,2.0
362,A,Nice,Strasbourg,0.0,3.0
363,A,Reims,Angers,1.0,2.0
364,H,Montpellier,Clermont,1.0,0.0
365,H,Monaco,Metz,4.0,0.0
366,A,Lorient,Nantes,0.0,1.0
367,A,St Etienne,Rennes,0.0,5.0
368,D,Lens,Paris SG,1.0,1.0
369,H,Lille,Troyes,2.0,1.0
370,A,Marseille,Brest,1.0,2.0
371,A,Rennes,Lille,1.0,2.0
372,D,Paris SG,Nice,0.0,0.0
373,A,Nantes,Marseille,0.0,1.0
374,A,Lyon,Reims,1.0,2.0
375,D,Clermont,Lens,2.0,2.0
376,H,Troyes,Lorient,2.0,0.0
377,H,Strasbourg,Bordeaux,5.0,2.0
378,A,Metz,Montpellier,1.0,3.0
379,H,Brest,St Etienne,1.0,0.0
380,A,Angers,Monaco,1.0,3.0
381,H,Marseille,Troyes,1.0,0.0
382,A,Montpellier,Lyon,0.0,1.0
383,H,Reims,Clermont,1.0,0.0
384,D,Monaco,Strasbourg,1.0,1.0
385,A,Lorient,Rennes,0.0,2.0
386,A,Bordeaux,Brest,1.0,2.0
387,A,St Etienne,Paris SG,1.0,3.0
388,A,Nice,Metz,0.0,1.0
389,D,Lille,Nantes,1.0,1.0
390,D,Lens,Angers,2.0,2.0
391,A,Clermont,Nice,1.0,2.0
392,A,Troyes,St Etienne,0.0,1.0
393,D,Strasbourg,Reims,1.0,1.0
394,D,Metz,Bordeaux,3.0,3.0
395,H,Angers,Lorient,1.0,0.0
396,H,Brest,Lens,4.0,0.0
397,H,Rennes,Montpellier,2.0,0.0
398,H,Paris SG,Nantes,3.0,1.0
399,D,Monaco,Lille,2.0,2.0
400,H,Rennes,Lyon,4.0,1.0
401,A,Nice,Montpellier,0.0,1.0
402,H,St Etienne,Clermont,3.0,2.0
403,D,Reims,Monaco,0.0,0.0
404,D,Nantes,Strasbourg,2.0,2.0
405,A,Lorient,Brest,1.0,2.0
406,D,Marseille,Metz,0.0,0.0
407,A,Bordeaux,Paris SG,2.0,3.0
408,D,Lille,Angers,1.0,1.0
409,H,Lens,Troyes,4.0,0.0
410,A,Clermont,Marseille,0.0,1.0
411,H,Brest,Monaco,2.0,0.0
412,D,Troyes,Rennes,2.0,2.0
413,H,Strasbourg,Lorient,4.0,0.0
414,H,Montpellier,Nantes,2.0,0.0
415,H,Bordeaux,Reims,3.0,2.0
416,A,Angers,Nice,1.0,2.0
417,H,Lyon,Lens,2.0,1.0
418,D,Metz,St Etienne,1.0,1.0
419,H,Paris SG,Lille,2.0,1.0
420,D,Nice,Marseille,1.0,1.0
421,D,Marseille,Paris SG,0.0,0.0
422,H,Monaco,Montpellier,3.0,1.0
423,H,Rennes,Strasbourg,1.0,0.0
424,A,Reims,Troyes,1.0,2.0
425,D,Lorient,Bordeaux,1.0,1.0
426,H,Lens,Metz,4.0,1.0
427,H,Nice,Lyon,3.0,2.0
428,D,Lille,Brest,1.0,1.0
429,H,Nantes,Clermont,2.0,1.0
430,D,St Etienne,Angers,2.0,2.0
431,H,Marseille,Lorient,4.0,1.0
432,H,Montpellier,Lens,1.0,0.0
433,H,Strasbourg,St Etienne,5.0,1.0
434,A,Metz,Rennes,0.0,3.0
435,D,Brest,Reims,1.0,1.0
436,D,Bordeaux,Nantes,1.0,1.0
437,H,Troyes,Nice,1.0,0.0
